Game ID,Puzzle Date,Word,Group Name,Group Level,Starting Row,Starting Column
1,2023-01-01,CHEDDAR,KINDS OF CHEESE,0,1,1
1,2023-01-01,GOUDA,KINDS OF CHEESE,0,2,3
1,2023-01-01,SWISS,KINDS OF CHEESE,0,3,2
1,2023-01-01,BRIE,KINDS OF CHEESE,0,4,4
1,2023-01-01,ROOT,PARTS OF A PLANT,1,1,2
1,2023-01-01,STEM,PARTS OF A PLANT,1,2,4
1,2023-01-01,LEAF,PARTS OF A PLANT,1,3,1
1,2023-01-01,BUD,PARTS OF A PLANT,1,4,3
1,2023-01-01,BEFUDDLE,SYNONYMS FOR "CONFUSE",2,1,3
1,2023-01-01,PERPLEX,SYNONYMS FOR "CONFUSE",2,2,2
1,2023-01-01,MUDDLE,SYNONYMS FOR "CONFUSE",2,3,4
1,2023-01-01,JUMBLE,SYNONYMS FOR "CONFUSE",2,4,1
1,2023-01-01,CRICKET,SPORTS ENDING IN "BALL",3,1,4
1,2023-01-01,BASE,SPORTS ENDING IN "BALL",3,2,1
1,2023-01-01,BASKET,SPORTS ENDING IN "BALL",3,3,3
1,2023-01-01,FOOT,SPORTS ENDING IN "BALL",3,4,2
2,2023-01-02,BARTLETT,KINDS OF PEARS,0,1,1
2,2023-01-02,BOSC,KINDS OF PEARS,0,2,3
2,2023-01-02,ANJOU,KINDS OF PEARS,0,3,2
2,2023-01-02,COMICE,KINDS OF PEARS,0,4,4
2,2023-01-02,HORN,MUSICAL INSTRUMENTS,1,1,2
2,2023-01-02,TRUMPET,MUSICAL INSTRUMENTS,1,2,4
2,2023-01-02,DRUM,MUSICAL INSTRUMENTS,1,3,1
2,2023-01-02,ORGAN,MUSICAL INSTRUMENTS,1,4,3
2,2023-01-02,RETRIEVER,THINGS THAT ARE "GOLDEN",2,1,3
2,2023-01-02,RULE,THINGS THAT ARE "GOLDEN",2,2,2
2,2023-01-02,AGE,THINGS THAT ARE "GOLDEN",2,3,4
2,2023-01-02,STATE,THINGS THAT ARE "GOLDEN",2,4,1
2,2023-01-02,WON,NUMBER HOMOPHONES,3,1,4
2,2023-01-02,TOO,NUMBER HOMOPHONES,3,2,1
2,2023-01-02,FOR,NUMBER HOMOPHONES,3,3,3
2,2023-01-02,ATE,NUMBER HOMOPHONES,3,4,2
3,2023-01-03,COVER,PARTS OF A BOOK,0,1,1
3,2023-01-03,SPINE,PARTS OF A BOOK,0,2,3
3,2023-01-03,PAGE,PARTS OF A BOOK,0,3,2
3,2023-01-03,CHAPTER,PARTS OF A BOOK,0,4,4
3,2023-01-03,STAR,THINGS FOUND IN SPACE,1,1,2
3,2023-01-03,MOON,THINGS FOUND IN SPACE,1,2,4
3,2023-01-03,PLANET,THINGS FOUND IN SPACE,1,3,1
3,2023-01-03,COMET,THINGS FOUND IN SPACE,1,4,3
3,2023-01-03,GLEAM,SYNONYMS FOR "SHINE",2,1,3
3,2023-01-03,GLOW,SYNONYMS FOR "SHINE",2,2,2
3,2023-01-03,SPARKLE,SYNONYMS FOR "SHINE",2,3,4
3,2023-01-03,RADIATE,SYNONYMS FOR "SHINE",2,4,1
3,2023-01-03,BEAN,MR. ___,3,1,4
3,2023-01-03,CLEAN,MR. ___,3,2,1
3,2023-01-03,PEANUT,MR. ___,3,3,3
3,2023-01-03,FOX,MR. ___,3,4,2
4,2023-01-04,SHIRT,THINGS WITH BUTTONS,0,1,1
4,2023-01-04,REMOTE,THINGS WITH BUTTONS,0,2,3
4,2023-01-04,KEYBOARD,THINGS WITH BUTTONS,0,3,2
4,2023-01-04,ELEVATOR,THINGS WITH BUTTONS,0,4,4
4,2023-01-04,SALT,KINDS OF LICKS,1,1,2
4,2023-01-04,SUGAR,KINDS OF LICKS,1,2,4
4,2023-01-04,FINGER,KINDS OF LICKS,1,3,1
4,2023-01-04,CHOP,KINDS OF LICKS,1,4,3
4,2023-01-04,NEWS,WORDS BEFORE "PAPER",2,1,3
4,2023-01-04,TOILET,WORDS BEFORE "PAPER",2,2,2
4,2023-01-04,SAND,WORDS BEFORE "PAPER",2,3,4
4,2023-01-04,WALL,WORDS BEFORE "PAPER",2,4,1
4,2023-01-04,NEW,FIRST WORDS OF U.S. STATES,3,1,4
4,2023-01-04,NORTH,FIRST WORDS OF U.S. STATES,3,2,1
4,2023-01-04,SOUTH,FIRST WORDS OF U.S. STATES,3,3,3
4,2023-01-04,WEST,FIRST WORDS OF U.S. STATES,3,4,2
5,2023-01-05,EAGLE,TYPES OF BIRDS,0,1,1
5,2023-01-05,ROBIN,TYPES OF BIRDS,0,2,3
5,2023-01-05,SPARROW,TYPES OF BIRDS,0,3,2
5,2023-01-05,DOVE,TYPES OF BIRDS,0,4,4
5,2023-01-05,KNOB,PARTS OF A DOOR,1,1,2
5,2023-01-05,FRAME,PARTS OF A DOOR,1,2,4
5,2023-01-05,HINGE,PARTS OF A DOOR,1,3,1
5,2023-01-05,JAMB,PARTS OF A DOOR,1,4,3
5,2023-01-05,FEATHER,THINGS THAT ARE "LIGHT",2,1,3
5,2023-01-05,AIRY,THINGS THAT ARE "LIGHT",2,2,2
5,2023-01-05,BRIGHT,THINGS THAT ARE "LIGHT",2,3,4
5,2023-01-05,BLONDE,THINGS THAT ARE "LIGHT",2,4,1
5,2023-01-05,STONE,WHAT "ROCK" MIGHT MEAN,3,1,4
5,2023-01-05,MUSIC,WHAT "ROCK" MIGHT MEAN,3,2,1
5,2023-01-05,SHAKE,WHAT "ROCK" MIGHT MEAN,3,3,3
5,2023-01-05,JEWEL,WHAT "ROCK" MIGHT MEAN,3,4,2
6,2023-01-06,BIRD,THINGS WITH WINGS,0,1,1
6,2023-01-06,PLANE,THINGS WITH WINGS,0,2,3
6,2023-01-06,FAIRY,THINGS WITH WINGS,0,3,2
6,2023-01-06,ANGEL,THINGS WITH WINGS,0,4,4
6,2023-01-06,DEGREE,WAYS TO MEASURE HEAT,1,1,2
6,2023-01-06,FAHRENHEIT,WAYS TO MEASURE HEAT,1,2,4
6,2023-01-06,CELSIUS,WAYS TO MEASURE HEAT,1,3,1
6,2023-01-06,KELVIN,WAYS TO MEASURE HEAT,1,4,3
6,2023-01-06,CLEVER,SYNONYMS FOR "SMART",2,1,3
6,2023-01-06,BRIGHT,SYNONYMS FOR "SMART",2,2,2
6,2023-01-06,SHARP,SYNONYMS FOR "SMART",2,3,4
6,2023-01-06,QUICK,SYNONYMS FOR "SMART",2,4,1
6,2023-01-06,SHOWER,TYPES OF "___ CAP",3,1,4
6,2023-01-06,NIGHT,TYPES OF "___ CAP",3,2,1
6,2023-01-06,KNEE,TYPES OF "___ CAP",3,3,3
6,2023-01-06,DUNCE,TYPES OF "___ CAP",3,4,2
7,2023-01-07,SALMON,TYPES OF FISH,0,1,1
7,2023-01-07,TUNA,TYPES OF FISH,0,2,3
7,2023-01-07,COD,TYPES OF FISH,0,3,2
7,2023-01-07,TROUT,TYPES OF FISH,0,4,4
7,2023-01-07,FISHING,THINGS WITH HOOKS,1,1,2
7,2023-01-07,COAT,THINGS WITH HOOKS,1,2,4
7,2023-01-07,EYE,THINGS WITH HOOKS,1,3,1
7,2023-01-07,CROCHET,THINGS WITH HOOKS,1,4,3
7,2023-01-07,QUICK,SYNONYMS FOR "FAST",2,1,3
7,2023-01-07,RAPID,SYNONYMS FOR "FAST",2,2,2
7,2023-01-07,SWIFT,SYNONYMS FOR "FAST",2,3,4
7,2023-01-07,FLEET,SYNONYMS FOR "FAST",2,4,1
7,2023-01-07,ALPHA,NATO ALPHABET FIRST LETTERS,3,1,4
7,2023-01-07,BRAVO,NATO ALPHABET FIRST LETTERS,3,2,1
7,2023-01-07,CHARLIE,NATO ALPHABET FIRST LETTERS,3,3,3
7,2023-01-07,DELTA,NATO ALPHABET FIRST LETTERS,3,4,2
8,2023-01-08,APPLE,FRUITS,0,1,1
8,2023-01-08,ORANGE,FRUITS,0,2,3
8,2023-01-08,GRAPE,FRUITS,0,3,2
8,2023-01-08,LEMON,FRUITS,0,4,4
8,2023-01-08,PIN,PARTS OF A BOWLING LANE,1,1,2
8,2023-01-08,GUTTER,PARTS OF A BOWLING LANE,1,2,4
8,2023-01-08,APPROACH,PARTS OF A BOWLING LANE,1,3,1
8,2023-01-08,STRIKE,PARTS OF A BOWLING LANE,1,4,3
8,2023-01-08,SCHEME,SYNONYMS FOR "PLAN",2,1,3
8,2023-01-08,PLOT,SYNONYMS FOR "PLAN",2,2,2
8,2023-01-08,BLUEPRINT,SYNONYMS FOR "PLAN",2,3,4
8,2023-01-08,DESIGN,SYNONYMS FOR "PLAN",2,4,1
8,2023-01-08,DAY,BAND NAMES MINUS COLORS,3,1,4
8,2023-01-08,STRIPES,BAND NAMES MINUS COLORS,3,2,1
8,2023-01-08,FLOYD,BAND NAMES MINUS COLORS,3,3,3
8,2023-01-08,SABBATH,BAND NAMES MINUS COLORS,3,4,2
9,2023-01-09,RAKE,GARDEN TOOLS,0,1,1
9,2023-01-09,HOE,GARDEN TOOLS,0,2,3
9,2023-01-09,SPADE,GARDEN TOOLS,0,3,2
9,2023-01-09,TROWEL,GARDEN TOOLS,0,4,4
9,2023-01-09,HUGE,SYNONYMS FOR "LARGE",1,1,2
9,2023-01-09,VAST,SYNONYMS FOR "LARGE",1,2,4
9,2023-01-09,MASSIVE,SYNONYMS FOR "LARGE",1,3,1
9,2023-01-09,ENORMOUS,SYNONYMS FOR "LARGE",1,4,3
9,2023-01-09,HELMET,PARTS OF A SUIT OF ARMOR,2,1,3
9,2023-01-09,GAUNTLET,PARTS OF A SUIT OF ARMOR,2,2,2
9,2023-01-09,BREASTPLATE,PARTS OF A SUIT OF ARMOR,2,3,4
9,2023-01-09,GREAVES,PARTS OF A SUIT OF ARMOR,2,4,1
9,2023-01-09,HEART,THINGS THAT CAN BE "BROKEN",3,1,4
9,2023-01-09,PROMISE,THINGS THAT CAN BE "BROKEN",3,2,1
9,2023-01-09,SILENCE,THINGS THAT CAN BE "BROKEN",3,3,3
9,2023-01-09,ENGLISH,THINGS THAT CAN BE "BROKEN",3,4,2
10,2023-01-10,LION,KINDS OF CATS,0,1,1
10,2023-01-10,TIGER,KINDS OF CATS,0,2,3
10,2023-01-10,LYNX,KINDS OF CATS,0,3,2
10,2023-01-10,PUMA,KINDS OF CATS,0,4,4
10,2023-01-10,ABRUPT,SYNONYMS FOR "SUDDEN",1,1,2
10,2023-01-10,HASTY,SYNONYMS FOR "SUDDEN",1,2,4
10,2023-01-10,RASH,SYNONYMS FOR "SUDDEN",1,3,1
10,2023-01-10,PRECIPITATE,SYNONYMS FOR "SUDDEN",1,4,3
10,2023-01-10,DECK,THINGS ASSOCIATED WITH CARDS,2,1,3
10,2023-01-10,SHUFFLE,THINGS ASSOCIATED WITH CARDS,2,2,2
10,2023-01-10,DEAL,THINGS ASSOCIATED WITH CARDS,2,3,4
10,2023-01-10,SUIT,THINGS ASSOCIATED WITH CARDS,2,4,1
10,2023-01-10,PARTY,TEA ___,3,1,4
10,2023-01-10,CUP,TEA ___,3,2,1
10,2023-01-10,LEAF,TEA ___,3,3,3
10,2023-01-10,BAG,TEA ___,3,4,2
11,2023-01-11,CABBAGE,VEGETABLES,0,1,1
11,2023-01-11,CARROT,VEGETABLES,0,2,3
11,2023-01-11,SPINACH,VEGETABLES,0,3,2
11,2023-01-11,BROCCOLI,VEGETABLES,0,4,4
11,2023-01-11,CODE,KINDS OF BREAKS,1,1,2
11,2023-01-11,NEWS,KINDS OF BREAKS,1,2,4
11,2023-01-11,COFFEE,KINDS OF BREAKS,1,3,1
11,2023-01-11,LUCKY,KINDS OF BREAKS,1,4,3
11,2023-01-11,RUN,WORDS THAT GO WITH "DOWN",2,1,3
11,2023-01-11,LOOK,WORDS THAT GO WITH "DOWN",2,2,2
11,2023-01-11,CALM,WORDS THAT GO WITH "DOWN",2,3,4
11,2023-01-11,SET,WORDS THAT GO WITH "DOWN",2,4,1
11,2023-01-11,BLUE,COLORS WITH SILENT "E",3,1,4
11,2023-01-11,GREEN,COLORS WITH SILENT "E",3,2,1
11,2023-01-11,WHITE,COLORS WITH SILENT "E",3,3,3
11,2023-01-11,PURPLE,COLORS WITH SILENT "E",3,4,2
12,2023-01-12,CHAIR,KINDS OF SEATS,0,1,1
12,2023-01-12,BENCH,KINDS OF SEATS,0,2,3
12,2023-01-12,SOFA,KINDS OF SEATS,0,3,2
12,2023-01-12,STOOL,KINDS OF SEATS,0,4,4
12,2023-01-12,WINTER,SEASONS,1,1,2
12,2023-01-12,SPRING,SEASONS,1,2,4
12,2023-01-12,SUMMER,SEASONS,1,3,1
12,2023-01-12,FALL,SEASONS,1,4,3
12,2023-01-12,CORN,THINGS YOU POP,2,1,3
12,2023-01-12,BALLOON,THINGS YOU POP,2,2,2
12,2023-01-12,QUESTION,THINGS YOU POP,2,3,4
12,2023-01-12,WEASEL,THINGS YOU POP,2,4,1
12,2023-01-12,DEER,ANIMAL HOMOPHONES,3,1,4
12,2023-01-12,HARE,ANIMAL HOMOPHONES,3,2,1
12,2023-01-12,LION,ANIMAL HOMOPHONES,3,3,3
12,2023-01-12,GOTE,ANIMAL HOMOPHONES,3,4,2
13,2023-01-13,OCEAN,BODIES OF WATER,0,1,1
13,2023-01-13,LAKE,BODIES OF WATER,0,2,3
13,2023-01-13,RIVER,BODIES OF WATER,0,3,2
13,2023-01-13,POND,BODIES OF WATER,0,4,4
13,2023-01-13,LEAVE,SYNONYMS FOR "DEPART",1,1,2
13,2023-01-13,EXIT,SYNONYMS FOR "DEPART",1,2,4
13,2023-01-13,GO,SYNONYMS FOR "DEPART",1,3,1
13,2023-01-13,SPLIT,SYNONYMS FOR "DEPART",1,4,3
13,2023-01-13,CHECK,THINGS YOU MIGHT BOUNCE,2,1,3
13,2023-01-13,BALL,THINGS YOU MIGHT BOUNCE,2,2,2
13,2023-01-13,IDEA,THINGS YOU MIGHT BOUNCE,2,3,4
13,2023-01-13,BACK,THINGS YOU MIGHT BOUNCE,2,4,1
13,2023-01-13,BOARD,___ GAME,3,1,4
13,2023-01-13,VIDEO,___ GAME,3,2,1
13,2023-01-13,CARD,___ GAME,3,3,3
13,2023-01-13,WORD,___ GAME,3,4,2
14,2023-01-14,BREAD,BAKED GOODS,0,1,1
14,2023-01-14,CAKE,BAKED GOODS,0,2,3
14,2023-01-14,PIE,BAKED GOODS,0,3,2
14,2023-01-14,MUFFIN,BAKED GOODS,0,4,4
