Game ID,Puzzle Date,Word,Group Name,Group Level,Starting Row,Starting Column
GAME_ID_001,2024-07-20,KING,THINGS WITH A CROWN,0,1,1
GAME_ID_001,2024-07-20,QUEEN,THINGS WITH A CROWN,0,4,4
GAME_ID_001,2024-07-20,PRINCE,THINGS WITH A CROWN,0,3,1
GAME_ID_001,2024-07-20,PRINCESS,THINGS WITH A CROWN,0,2,3
GAME_ID_001,2024-07-20,SHUFFLE,DEAL WITH A DECK OF CARDS,1,2,4
GAME_ID_001,2024-07-20,CUT,DEAL WITH A DECK OF CARDS,1,4,1
GAME_ID_001,2024-07-20,DEAL,DEAL WITH A DECK OF CARDS,1,1,2
GAME_ID_001,2024-07-20,TRICK,DEAL WITH A A DECK OF CARDS,1,3,2
GAME_ID_001,2024-07-20,TAKE,WORDS SAID BEFORE 'OFF',2,1,4
GAME_ID_001,2024-07-20,KICK,WORDS SAID BEFORE 'OFF',2,3,4
GAME_ID_001,2024-07-20,CALL,WORDS SAID BEFORE 'OFF',2,2,2
GAME_ID_001,2024-07-20,BRUSH,WORDS SAID BEFORE 'OFF',2,4,2
GAME_ID_001,2024-07-20,GROUND,BACK ___,3,3,3
GAME_ID_001,2024-07-20,DOOR,BACK ___,3,2,1
GAME_ID_001,2024-07-20,TRACK,BACK ___,3,1,3
GAME_ID_001,2024-07-20,LOG,BACK ___,3,4,3
GAME_ID_002,2024-07-21,DOUGHNUT,THINGS WITH A HOLE,0,2,1
GAME_ID_002,2024-07-21,BAGEL,THINGS WITH A HOLE,0,1,4
GAME_ID_002,2024-07-21,CHEESE,THINGS WITH A HOLE,0,4,2
GAME_ID_002,2024-07-21,SWISS,THINGS WITH A HOLE,0,3,3
GAME_ID_002,2024-07-21,FLY,WAYS TO GO FISHING,1,1,1
GAME_ID_002,2024-07-21,TROLL,WAYS TO GO FISHING,1,2,3
GAME_ID_002,2024-07-21,CAST,WAYS TO GO FISHING,1,4,1
GAME_ID_002,2024-07-21,NET,WAYS TO GO FISHING,1,3,4
GAME_ID_002,2024-07-21,BIRDIE,TERMS IN GOLF,2,1,3
GAME_ID_002,2024-07-21,EAGLE,TERMS IN GOLF,2,3,1
GAME_ID_002,2024-07-21,BOGEY,TERMS IN GOLF,2,4,3
GAME_ID_002,2024-07-21,PAR,TERMS IN GOLF,2,2,4
GAME_ID_002,2024-07-21,WON,NUMBER HOMOPHONES,3,1,2
GAME_ID_002,2024-07-21,TOO,NUMBER HOMOPHONES,3,2,2
GAME_ID_002,2024-07-21,FOR,NUMBER HOMOPHONES,3,3,2
GAME_ID_002,2024-07-21,ATE,NUMBER HOMOPHONES,3,4,4
GAME_ID_003,2024-07-22,SUN,THINGS THAT GLOW,0,1,1
GAME_ID_003,2024-07-22,LAMP,THINGS THAT GLOW,0,4,2
GAME_ID_003,2024-07-22,FIREFLY,THINGS THAT GLOW,0,2,3
GAME_ID_003,2024-07-22,CANDLE,THINGS THAT GLOW,0,3,1
GAME_ID_003,2024-07-22,STAGE,PARTS OF A THEATER,1,2,2
GAME_ID_003,2024-07-22,BOX,PARTS OF A THEATER,1,4,4
GAME_ID_003,2024-07-22,PIT,PARTS OF A THEATER,1,1,3
GAME_ID_003,2024-07-22,WING,PARTS OF A THEATER,1,3,4
GAME_ID_003,2024-07-22,QUICK,SYNONYMS FOR FAST,2,1,2
GAME_ID_003,2024-07-22,RAPID,SYNONYMS FOR FAST,2,3,3
GAME_ID_003,2024-07-22,SWIFT,SYNONYMS FOR FAST,2,2,4
GAME_ID_003,2024-07-22,BRISK,SYNONYMS FOR FAST,2,4,1
GAME_ID_003,2024-07-22,CLIP,PAPER ___,3,4,3
GAME_ID_003,2024-07-22,TRAIL,PAPER ___,3,3,2
GAME_ID_003,2024-07-22,WEIGHT,PAPER ___,3,1,4
GAME_ID_003,2024-07-22,WORK,PAPER ___,3,2,1
GAME_ID_004,2024-07-23,BARN,THINGS ON A FARM,0,1,1
GAME_ID_004,2024-07-23,TRACTOR,THINGS ON A FARM,0,4,3
GAME_ID_004,2024-07-23,SILO,THINGS ON A FARM,0,2,2
GAME_ID_004,2024-07-23,FIELD,THINGS ON A FARM,0,3,4
GAME_ID_004,2024-07-23,PETAL,PARTS OF A FLOWER,1,2,4
GAME_ID_004,2024-07-23,STEM,PARTS OF A FLOWER,1,4,1
GAME_ID_004,2024-07-23,STAMEN,PARTS OF A FLOWER,1,1,2
GAME_ID_004,2024-07-23,PISTIL,PARTS OF A FLOWER,1,3,2
GAME_ID_004,2024-07-23,PEEK,SYNONYMS FOR A QUICK GLANCE,2,1,4
GAME_ID_004,2024-07-23,GLIMPSE,SYNONYMS FOR A QUICK GLANCE,2,3,1
GAME_ID_004,2024-07-23,SNEAK,SYNONYMS FOR A QUICK GLANCE,2,2,1
GAME_ID_004,2024-07-23,SPY,SYNONYMS FOR A QUICK GLANCE,2,4,2
GAME_ID_004,2024-07-23,LEAF,THINGS WITH FOUR,3,1,3
GAME_ID_004,2024-07-23,WHEEL,THINGS WITH FOUR,3,2,3
GAME_ID_004,2024-07-23,CORNERS,THINGS WITH FOUR,3,3,3
GAME_ID_004,2024-07-23,WINDS,THINGS WITH FOUR,3,4,4
GAME_ID_005,2024-07-24,ROOF,PARTS OF A HOUSE,0,1,1
GAME_ID_005,2024-07-24,FLOOR,PARTS OF A HOUSE,0,4,3
GAME_ID_005,2024-07-24,WALL,PARTS OF A HOUSE,0,2,2
GAME_ID_005,2024-07-24,CEILING,PARTS OF A HOUSE,0,3,4
